时间,价格,数量
1785,288,135037
1786,288,134980
1787,287,136799
1788,288,129087
1789,287,114276
1790,288,127721
1791,289,130836
1792,289,118021
1793,290,142122
1794,290,122147
1795,289,115786
1796,289,113359
1797,291,106186
1798,289,107536
1799,288,120236
1800,288,135693
1801,288,134752
1802,288,116369
1803,289,111514
1804,288,127577
1805,289,125757
1806,290,117283
1807,289,120460
1808,289,112883
1809,290,117889
1810,291,133791
1811,291,111870
1812,293,116736
1813,292,138279
1814,295,116594
1815,293,121633
1816,291,111114
1817,290,137784
1818,293,114808
1819,292,117279
1820,292,133707
1821,291,123132
1822,291,140437
1823,294,117458
1824,295,110930
1825,294,127351
1826,294,118605
1827,294,125197
1828,295,114443
1829,291,125180
1830,289,117868
1831,290,143268
1832,289,119008
1833,289,133719
1834,290,121692
1835,290,120816
1836,290,145101
1837,288,111055
1838,287,130922
1839,287,121345
1840,288,114812
1841,290,130838
1842,294,126283
1843,296,118423
1844,294,132549
1845,293,115660
1846,291,128739
1847,291,123914
1848,290,132097
1849,290,120368
1850,291,113691
1851,289,132912
1852,288,124650
1853,286,135536
1854,286,118192
1855,283,134258
1856,283,130245
1857,285,119010
1858,283,120234
1859,283,117496
1860,283,121841
1861,285,134276
1862,287,127308
1863,285,120571
1864,285,116497
1865,287,106490
1866,288,137579
1867,287,111943
